          5        1050

                COND. CRYSTAL PARAMETERS

        Rho         A       Z        IS171      IS5000       IK171      IK5000
     7.079E+06      56      26      0.4168      1.1720      2.5402      3.8125
     7.244E+06      56      26      0.4149      1.1694      2.5408      3.8160
     7.413E+06      56      26      0.4130      1.1669      2.5414      3.8195
     7.586E+06      56      26      0.4111      1.1644      2.5421      3.8230
     7.762E+06      56      26      0.4092      1.1619      2.5427      3.8265
     7.943E+06      56      26      0.4073      1.1594      2.5433      3.8300
     8.128E+06      56      26      0.4054      1.1569      2.5440      3.8335
     8.318E+06      62      28      0.4037      1.1544      2.5445      3.8362
     8.511E+06      62      28      0.4033      1.1518      2.5442      3.8342
     8.710E+06      62      28      0.4029      1.1492      2.5439      3.8322
     8.913E+06      62      28      0.4026      1.1467      2.5436      3.8302
     9.120E+06      62      28      0.4022      1.1441      2.5432      3.8281
     9.333E+06      62      28      0.4018      1.1415      2.5429      3.8261
     9.550E+06      62      28      0.4015      1.1389      2.5426      3.8241
     9.772E+06      62      28      0.4011      1.1364      2.5423      3.8221
     1.000E+07      62      28      0.4007      1.1338      2.5420      3.8200
     1.023E+07      62      28      0.4004      1.1312      2.5417      3.8180
     1.047E+07      62      28      0.4000      1.1286      2.5414      3.8160
     1.072E+07      62      28      0.3996      1.1261      2.5411      3.8140
     1.096E+07      62      28      0.3993      1.1235      2.5408      3.8119
     1.122E+07      62      28      0.3989      1.1209      2.5405      3.8099
     1.148E+07      62      28      0.3985      1.1184      2.5402      3.8079
     1.175E+07      62      28      0.3982      1.1158      2.5399      3.8058
     1.202E+07      62      28      0.3978      1.1132      2.5396      3.8038
     1.230E+07      62      28      0.3974      1.1106      2.5393      3.8018
     1.259E+07      62      28      0.3971      1.1081      2.5390      3.7998
     1.288E+07      62      28      0.3967      1.1055      2.5387      3.7977
     1.318E+07      62      28      0.3963      1.1029      2.5384      3.7957
     1.349E+07      62      28      0.3960      1.1003      2.5381      3.7937
     1.380E+07      62      28      0.3956      1.0978      2.5378      3.7917
     1.413E+07      62      28      0.3952      1.0952      2.5375      3.7896
     1.445E+07      62      28      0.3949      1.0926      2.5372      3.7876
     1.479E+07      62      28      0.3945      1.0901      2.5369      3.7856
     1.514E+07      62      28      0.3941      1.0875      2.5366      3.7836
     1.549E+07      62      28      0.3938      1.0849      2.5363      3.7815
     1.585E+07      62      28      0.3934      1.0823      2.5360      3.7795
     1.622E+07      62      28      0.3930      1.0798      2.5357      3.7775
     1.660E+07      62      28      0.3927      1.0773      2.5354      3.7755
     1.698E+07      62      28      0.3924      1.0753      2.5351      3.7739
     1.738E+07      62      28      0.3921      1.0733      2.5348      3.7723
     1.778E+07      62      28      0.3918      1.0713      2.5346      3.7706
     1.820E+07      62      28      0.3915      1.0693      2.5343      3.7690
     1.862E+07      62      28      0.3912      1.0673      2.5340      3.7674
     1.905E+07      62      28      0.3910      1.0653      2.5337      3.7657
     1.950E+07      62      28      0.3907      1.0633      2.5335      3.7641
     1.995E+07      62      28      0.3904      1.0613      2.5332      3.7625
     2.042E+07      62      28      0.3901      1.0593      2.5329      3.7609
     2.089E+07      62      28      0.3898      1.0574      2.5327      3.7592
     2.138E+07      62      28      0.3895      1.0554      2.5324      3.7576
     2.188E+07      62      28      0.3893      1.0534      2.5321      3.7560
     2.239E+07      62      28      0.3890      1.0514      2.5319      3.7544
     2.291E+07      62      28      0.3887      1.0494      2.5316      3.7527
     2.344E+07      62      28      0.3884      1.0474      2.5313      3.7511
     2.399E+07      62      28      0.3881      1.0454      2.5310      3.7495
     2.455E+07      62      28      0.3878      1.0434      2.5308      3.7478
     2.512E+07      62      28      0.3876      1.0414      2.5305      3.7462
     2.570E+07      62      28      0.3873      1.0394      2.5302      3.7446
     2.630E+07      62      28      0.3870      1.0375      2.5300      3.7430
     2.692E+07      62      28      0.3867      1.0355      2.5297      3.7413
     2.754E+07      62      28      0.3864      1.0335      2.5294      3.7397
     2.818E+07      62      28      0.3861      1.0315      2.5292      3.7381
     2.884E+07      62      28      0.3859      1.0295      2.5289      3.7365
     2.951E+07      62      28      0.3856      1.0275      2.5286      3.7348
     3.020E+07      62      28      0.3853      1.0255      2.5283      3.7332
     3.090E+07      62      28      0.3850      1.0235      2.5281      3.7316
     3.162E+07      62      28      0.3847      1.0215      2.5278      3.7300
     3.236E+07      62      28      0.3844      1.0195      2.5275      3.7283
     3.311E+07      62      28      0.3842      1.0176      2.5273      3.7268
     3.388E+07      62      28      0.3840      1.0162      2.5271      3.7255
     3.467E+07      62      28      0.3838      1.0147      2.5269      3.7243
     3.548E+07      62      28      0.3836      1.0133      2.5266      3.7231
     3.631E+07      62      28      0.3834      1.0118      2.5264      3.7218
     3.715E+07      62      28      0.3832      1.0103      2.5262      3.7206
     3.802E+07      62      28      0.3830      1.0089      2.5260      3.7194
     3.890E+07      62      28      0.3828      1.0074      2.5258      3.7182
     3.981E+07      62      28      0.3825      1.0060      2.5256      3.7169
     4.074E+07      62      28      0.3823      1.0045      2.5254      3.7157
     4.169E+07      62      28      0.3821      1.0031      2.5252      3.7145
     4.266E+07      62      28      0.3819      1.0016      2.5250      3.7133
     4.365E+07      62      28      0.3817      1.0001      2.5248      3.7120
     4.467E+07      62      28      0.3815      0.9987      2.5245      3.7108
     4.571E+07      62      28      0.3813      0.9972      2.5243      3.7096
     4.677E+07      62      28      0.3811      0.9958      2.5241      3.7084
     4.786E+07      62      28      0.3809      0.9943      2.5239      3.7071
     4.898E+07      62      28      0.3807      0.9929      2.5237      3.7059
     5.012E+07      62      28      0.3805      0.9914      2.5235      3.7047
     5.129E+07      62      28      0.3803      0.9899      2.5233      3.7034
     5.248E+07      62      28      0.3801      0.9885      2.5231      3.7022
     5.370E+07      62      28      0.3799      0.9870      2.5229      3.7010
     5.495E+07      62      28      0.3797      0.9856      2.5227      3.6998
     5.623E+07      62      28      0.3795      0.9841      2.5224      3.6985
     5.754E+07      62      28      0.3793      0.9827      2.5222      3.6973
     5.888E+07      62      28      0.3791      0.9812      2.5220      3.6961
     6.026E+07      62      28      0.3789      0.9798      2.5218      3.6949
     6.166E+07      62      28      0.3787      0.9783      2.5216      3.6936
     6.310E+07      62      28      0.3785      0.9768      2.5214      3.6924
     6.457E+07      62      28      0.3783      0.9754      2.5212      3.6912
     6.607E+07      62      28      0.3781      0.9740      2.5210      3.6900
     6.761E+07      62      28      0.3779      0.9729      2.5208      3.6891
     6.918E+07      62      28      0.3778      0.9719      2.5207      3.6882
     7.079E+07      62      28      0.3777      0.9709      2.5205      3.6873
     7.244E+07      62      28      0.3775      0.9698      2.5204      3.6864
     7.413E+07      62      28      0.3774      0.9688      2.5202      3.6855
     7.586E+07      62      28      0.3772      0.9677      2.5201      3.6846
     7.762E+07      62      28      0.3771      0.9667      2.5199      3.6836
     7.943E+07      62      28      0.3769      0.9657      2.5198      3.6827
     8.128E+07      62      28      0.3768      0.9646      2.5196      3.6818
     8.318E+07      62      28      0.3767      0.9636      2.5195      3.6809
     8.511E+07      62      28      0.3765      0.9625      2.5193      3.6800
     8.710E+07      62      28      0.3764      0.9615      2.5192      3.6791
     8.913E+07      62      28      0.3762      0.9605      2.5190      3.6782
     9.120E+07      62      28      0.3761      0.9594      2.5189      3.6773
