 5 1000

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_03_145_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 
  4.288E-01  9.936E+00  1.116E+00  1.285E+00  8.165E-01  1.517E-01
  4.302E-01  9.951E+00  1.123E+00  1.294E+00  8.156E-01  1.524E-01
  4.317E-01  9.967E+00  1.130E+00  1.302E+00  8.146E-01  1.530E-01
  4.332E-01  9.982E+00  1.136E+00  1.311E+00  8.137E-01  1.537E-01
  4.346E-01  9.996E+00  1.143E+00  1.319E+00  8.128E-01  1.543E-01
  4.361E-01  1.001E+01  1.150E+00  1.328E+00  8.119E-01  1.550E-01
  4.376E-01  1.003E+01  1.156E+00  1.336E+00  8.110E-01  1.556E-01
  4.391E-01  1.004E+01  1.163E+00  1.345E+00  8.100E-01  1.563E-01
  4.406E-01  1.005E+01  1.170E+00  1.353E+00  8.092E-01  1.569E-01
  4.421E-01  1.007E+01  1.176E+00  1.361E+00  8.083E-01  1.576E-01
  4.436E-01  1.008E+01  1.182E+00  1.369E+00  8.074E-01  1.582E-01
  4.451E-01  1.009E+01  1.189E+00  1.378E+00  8.065E-01  1.588E-01
  4.466E-01  1.011E+01  1.195E+00  1.386E+00  8.056E-01  1.594E-01
  4.481E-01  1.012E+01  1.202E+00  1.394E+00  8.047E-01  1.601E-01
  4.497E-01  1.013E+01  1.208E+00  1.402E+00  8.039E-01  1.607E-01
  4.512E-01  1.014E+01  1.214E+00  1.410E+00  8.030E-01  1.613E-01
  4.527E-01  1.016E+01  1.220E+00  1.418E+00  8.021E-01  1.619E-01
  4.543E-01  1.017E+01  1.226E+00  1.426E+00  8.013E-01  1.625E-01
  4.558E-01  1.018E+01  1.233E+00  1.434E+00  8.004E-01  1.631E-01
  4.574E-01  1.019E+01  1.239E+00  1.442E+00  7.996E-01  1.637E-01
  4.589E-01  1.020E+01  1.245E+00  1.449E+00  7.987E-01  1.643E-01
  4.605E-01  1.022E+01  1.251E+00  1.457E+00  7.979E-01  1.649E-01
  4.621E-01  1.023E+01  1.257E+00  1.465E+00  7.971E-01  1.655E-01
  4.636E-01  1.024E+01  1.263E+00  1.472E+00  7.962E-01  1.661E-01
  4.652E-01  1.025E+01  1.268E+00  1.480E+00  7.954E-01  1.667E-01
  4.668E-01  1.026E+01  1.274E+00  1.487E+00  7.946E-01  1.673E-01
  4.684E-01  1.027E+01  1.280E+00  1.495E+00  7.938E-01  1.678E-01
  4.700E-01  1.028E+01  1.286E+00  1.502E+00  7.930E-01  1.684E-01
  4.716E-01  1.029E+01  1.291E+00  1.510E+00  7.922E-01  1.690E-01
