 5 1000    <---- Wrong number !

       EOS file : /Users/dany/Work/NStar/eos/quark/strange_eos_00_155_150.dat 

    rhoc        rad    grav. mass   b. mass  red shift  % binding 
  6.149E-01  9.138E+00  1.179E+00  1.362E+00  7.855E-01  1.552E-01
  6.170E-01  9.146E+00  1.184E+00  1.368E+00  7.847E-01  1.557E-01
  6.191E-01  9.153E+00  1.189E+00  1.374E+00  7.840E-01  1.563E-01
  6.212E-01  9.161E+00  1.193E+00  1.380E+00  7.832E-01  1.568E-01
  6.233E-01  9.168E+00  1.198E+00  1.386E+00  7.825E-01  1.573E-01
  6.254E-01  9.175E+00  1.202E+00  1.392E+00  7.817E-01  1.578E-01
  6.276E-01  9.182E+00  1.207E+00  1.398E+00  7.810E-01  1.583E-01
  6.297E-01  9.188E+00  1.211E+00  1.404E+00  7.802E-01  1.588E-01
  6.318E-01  9.195E+00  1.216E+00  1.409E+00  7.795E-01  1.594E-01
  6.340E-01  9.202E+00  1.220E+00  1.415E+00  7.787E-01  1.599E-01
  6.361E-01  9.208E+00  1.224E+00  1.421E+00  7.780E-01  1.604E-01
  6.383E-01  9.214E+00  1.229E+00  1.426E+00  7.773E-01  1.609E-01
  6.405E-01  9.221E+00  1.233E+00  1.432E+00  7.766E-01  1.614E-01
  6.427E-01  9.227E+00  1.237E+00  1.438E+00  7.759E-01  1.618E-01
  6.449E-01  9.233E+00  1.242E+00  1.443E+00  7.752E-01  1.623E-01
  6.471E-01  9.238E+00  1.246E+00  1.449E+00  7.745E-01  1.628E-01
  6.493E-01  9.244E+00  1.250E+00  1.454E+00  7.737E-01  1.633E-01
  6.515E-01  9.250E+00  1.254E+00  1.460E+00  7.730E-01  1.638E-01
  6.537E-01  9.255E+00  1.258E+00  1.465E+00  7.723E-01  1.643E-01
  6.559E-01  9.261E+00  1.262E+00  1.470E+00  7.717E-01  1.647E-01
  6.582E-01  9.266E+00  1.266E+00  1.475E+00  7.710E-01  1.652E-01
  6.604E-01  9.271E+00  1.270E+00  1.481E+00  7.703E-01  1.657E-01
  6.626E-01  9.276E+00  1.274E+00  1.486E+00  7.696E-01  1.661E-01
